numero,timestamp,http_code,curl_rc,node,error
1,2026-07-13 02:25:37.232,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
2,2026-07-13 02:25:37.497,200,0,idm2,NONE
3,2026-07-13 02:25:37.763,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
4,2026-07-13 02:25:38.051,200,0,idm2,NONE
5,2026-07-13 02:25:38.329,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
6,2026-07-13 02:25:38.591,200,0,idm2,NONE
7,2026-07-13 02:25:38.850,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
8,2026-07-13 02:25:39.102,200,0,idm2,NONE
9,2026-07-13 02:25:39.374,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
10,2026-07-13 02:25:39.630,200,0,idm2,NONE
11,2026-07-13 02:25:39.890,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
12,2026-07-13 02:25:40.140,200,0,idm2,NONE
13,2026-07-13 02:25:40.406,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
14,2026-07-13 02:25:40.659,200,0,idm2,NONE
15,2026-07-13 02:25:40.923,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
16,2026-07-13 02:25:41.174,200,0,idm2,NONE
17,2026-07-13 02:25:41.439,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
18,2026-07-13 02:25:41.687,200,0,idm2,NONE
19,2026-07-13 02:25:41.950,000,60,NONE,curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it; please visit the web page mentioned above. 
20,2026-07-13 02:25:42.200,200,0,idm2,NONE
