epoch_ms,timestamp,status,duration_ms,error
1783905432645,2026-07-13 01:17:12.645,OK,25.21,
1783905432921,2026-07-13 01:17:12.921,OK,26.92,
1783905433199,2026-07-13 01:17:13.199,OK,25.94,
1783905433476,2026-07-13 01:17:13.476,OK,23.54,
1783905433751,2026-07-13 01:17:13.751,OK,28.49,
1783905434031,2026-07-13 01:17:14.031,OK,25.29,
1783905434307,2026-07-13 01:17:14.307,OK,26.77,
1783905434588,2026-07-13 01:17:14.588,OK,24.88,
1783905434866,2026-07-13 01:17:14.866,OK,24.62,
1783905435142,2026-07-13 01:17:15.142,OK,26.11,
1783905435421,2026-07-13 01:17:15.421,OK,24.11,
1783905435698,2026-07-13 01:17:15.698,OK,23.83,
1783905435973,2026-07-13 01:17:15.973,OK,23.02,
1783905436249,2026-07-13 01:17:16.249,OK,25.98,
1783905436526,2026-07-13 01:17:16.526,OK,26.51,
1783905436803,2026-07-13 01:17:16.803,OK,25.89,
1783905437080,2026-07-13 01:17:17.080,OK,25.83,
1783905437356,2026-07-13 01:17:17.356,OK,28.73,
1783905437636,2026-07-13 01:17:17.636,OK,30.60,
1783905437918,2026-07-13 01:17:17.918,OK,26.06,
1783905438196,2026-07-13 01:17:18.196,OK,1031.48,
1783905439479,2026-07-13 01:17:19.479,OK,1030.46,
1783905440760,2026-07-13 01:17:20.760,OK,1031.86,
1783905442049,2026-07-13 01:17:22.049,OK,1031.93,
1783905443331,2026-07-13 01:17:23.331,OK,1035.74,
1783905444619,2026-07-13 01:17:24.619,OK,29.05,
1783905444899,2026-07-13 01:17:24.899,OK,1023.98,
1783905446175,2026-07-13 01:17:26.175,OK,1027.12,
1783905447465,2026-07-13 01:17:27.465,OK,1032.26,
1783905448748,2026-07-13 01:17:28.748,OK,1030.49,
1783905450030,2026-07-13 01:17:30.030,OK,1025.02,
1783905451306,2026-07-13 01:17:31.306,OK,1028.85,
1783905452586,2026-07-13 01:17:32.586,OK,27.82,
1783905452864,2026-07-13 01:17:32.864,OK,1033.03,
1783905454153,2026-07-13 01:17:34.153,OK,1029.25,
1783905455434,2026-07-13 01:17:35.434,OK,1029.38,
1783905456716,2026-07-13 01:17:36.716,OK,1028.86,
1783905457995,2026-07-13 01:17:37.995,OK,1028.64,
1783905459275,2026-07-13 01:17:39.275,OK,1027.33,
1783905460554,2026-07-13 01:17:40.554,OK,28.83,
